"License","http://developers.pioupiou.fr/data-licensing"
"Attribution","(c) contributors of the Pioupiou wind network <http://pioupiou.fr>"
"time","latitude","longitude","wind_speed_min","wind_speed_avg","wind_speed_max","wind_heading","pressure"
"utc","degrees","degrees","km/h","km/h","km/h","degrees","(deprecated)"
"2018-06-02T08:25:33.000Z",46.371751,5.899987,4.5,6.25,8,315,null
"2018-06-02T08:29:37.000Z",46.371751,5.899987,5,6.75,8.25,315,null
"2018-06-02T08:33:37.000Z",46.371751,5.899987,5.25,7,8.75,315,null
"2018-06-02T08:37:37.000Z",46.371751,5.899987,4.5,7,8.75,315,null
"2018-06-02T08:41:40.000Z",46.371751,5.899987,4.25,6.5,7.75,315,null
"2018-06-02T08:45:40.000Z",46.371751,5.899987,4.25,5.75,7,315,null
"2018-06-02T08:49:40.000Z",46.371751,5.899987,4.75,6.5,8.25,315,null
"2018-06-02T08:53:44.000Z",46.371751,5.899987,4.5,6.75,8,315,null
"2018-06-02T08:57:44.000Z",46.371751,5.899987,4.5,6.75,8.25,315,null
"2018-06-02T09:01:44.000Z",46.371751,5.899987,3.25,6.5,8.75,315,null
"2018-06-02T09:05:49.000Z",46.371751,5.899987,4.5,6.75,8.25,315,null
"2018-06-02T09:09:49.000Z",46.371751,5.899987,5.5,7.75,9.75,315,null
"2018-06-02T09:13:49.000Z",46.371751,5.899987,4.5,7.5,10.5,315,null
"2018-06-02T09:17:53.000Z",46.371751,5.899987,5.5,7.5,9.5,315,null
"2018-06-02T09:21:53.000Z",46.371751,5.899987,5.5,7.75,10,315,null
